status,nanoclay_loading,specimen_id,frequency_Hz,STL_dB
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,100,12.894
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,100,12.611
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,100,11.475
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,100,11.597
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,100,13.295
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,100,12.609
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,100,11.486
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,100,12.333
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,100,12.335
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,100,13.366
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,250,17.047
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,250,17.685
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,250,17.221
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,250,16.265
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,250,17.435
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,250,15.971
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,250,15.956
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,250,16.568
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,250,18.357
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,250,15.496
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,500,21.158
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,500,22.86
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,500,22.887
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,500,22.227
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,500,21.871
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,500,21.595
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,500,20.212
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,500,22.449
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,500,21.731
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,500,20.01
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,1000,27.718
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,1000,26.872
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,1000,27.298
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,1000,29.572
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,1000,27.086
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,1000,28.718
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,1000,28.716
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,1000,26.975
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,1000,27.74
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,1000,25.305
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,2000,34.355
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,2000,32.912
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,2000,30.911
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,2000,32.536
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,2000,35.263
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,2000,33.036
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,2000,33.607
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,2000,34.188
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,2000,33.585
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,2000,31.607
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,4000,37.908
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,4000,38.573
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,4000,39.229
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,4000,37.865
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,4000,38.206
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,4000,38.126
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,4000,40.601
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,4000,36.553
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,4000,41.215
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,4000,36.724
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,100,13.896
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,100,11.52
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,100,13.144
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,100,13.091
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,100,14.173
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,100,13.365
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,100,12.813
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,100,13.928
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,100,12.511
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,100,12.559
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,250,18.329
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,250,19.02
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,250,18.41
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,250,18.099
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,250,16.017
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,250,16.917
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,250,17.581
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,250,17.869
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,250,18.234
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,250,19.524
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,500,24.161
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,500,23.919
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,500,23.907
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,500,22.77
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,500,23.28
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,500,21.47
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,500,25.063
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,500,22.446
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,500,24.48
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,500,22.503
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,1000,30.463
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,1000,30.733
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,1000,30.093
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,1000,29.529
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,1000,30.359
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,1000,30.15
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,1000,28.115
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,1000,28.381
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,1000,32.123
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,1000,28.053
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,2000,36.872
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,2000,35.256
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,2000,36.268
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,2000,34.442
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,2000,33.576
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,2000,33.959
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,2000,37.717
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,2000,37.101
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,2000,35.401
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,2000,36.408
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,4000,41.69
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,4000,43.987
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,4000,38.945
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,4000,41.828
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,4000,40.559
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,4000,39.649
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,4000,38.789
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,4000,41.865
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,4000,41.594
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,4000,40.094
ILLUSTRATIVE_NOT_MEASURED,2g,2g-01,100,13.996
ILLUSTRATIVE_NOT_MEASURED,2g,2g-02,100,15.154
ILLUSTRATIVE_NOT_MEASURED,2g,2g-03,100,13.059
ILLUSTRATIVE_NOT_MEASURED,2g,2g-04,100,12.853
ILLUSTRATIVE_NOT_MEASURED,2g,2g-05,100,14.632
ILLUSTRATIVE_NOT_MEASURED,2g,2g-06,100,14.864
ILLUSTRATIVE_NOT_MEASURED,2g,2g-07,100,13.678
ILLUSTRATIVE_NOT_MEASURED,2g,2g-08,100,12.651
ILLUSTRATIVE_NOT_MEASURED,2g,2g-09,100,14.368
ILLUSTRATIVE_NOT_MEASURED,2g,2g-10,100,14.744
ILLUSTRATIVE_NOT_MEASURED,2g,2g-01,250,18.082
ILLUSTRATIVE_NOT_MEASURED,2g,2g-02,250,19.617
ILLUSTRATIVE_NOT_MEASURED,2g,2g-03,250,18.721
ILLUSTRATIVE_NOT_MEASURED,2g,2g-04,250,18.537
ILLUSTRATIVE_NOT_MEASURED,2g,2g-05,250,18.92
ILLUSTRATIVE_NOT_MEASURED,2g,2g-06,250,18.865
ILLUSTRATIVE_NOT_MEASURED,2g,2g-07,250,18.627
ILLUSTRATIVE_NOT_MEASURED,2g,2g-08,250,19.264
ILLUSTRATIVE_NOT_MEASURED,2g,2g-09,250,21.686
ILLUSTRATIVE_NOT_MEASURED,2g,2g-10,250,20.681
ILLUSTRATIVE_NOT_MEASURED,2g,2g-01,500,24.692
ILLUSTRATIVE_NOT_MEASURED,2g,2g-02,500,25.283
